diagnosisYear,allRacesBothSexes,allRacesMales,allRacesFemales,whitesBothSexes,whitesMales,whitesFemales,blacksBothSexes,blacksMales,blacksFemales
1975,400.44,466.83,365.88,402.23,468.63,369.72,426.78,525.60,357.06
1976,407.41,481.09,367.47,409.85,481.97,373.32,427.62,553.03,340.87
1977,407.72,486.46,363.69,409.39,487.26,367.92,443.01,577.73,352.63
1978,407.32,488.43,362.17,409.87,489.85,368.00,436.83,571.23,344.22
1979,412.50,496.48,365.49,414.20,497.69,369.78,451.73,589.85,359.34
1980,418.09,505.83,368.15,419.52,505.23,373.41,467.51,615.07,366.63
1981,425.28,510.80,377.17,427.70,510.84,383.89,472.90,634.34,362.89
1982,424.49,511.10,376.18,427.78,512.52,383.41,465.28,622.36,359.24
1983,431.11,519.94,380.71,434.35,520.95,387.93,487.26,646.27,382.24
1984,440.01,525.48,392.46,443.66,527.77,399.53,488.26,643.87,386.15
1985,448.94,531.30,403.24,453.60,533.72,411.55,489.39,643.82,388.62
1986,451.36,538.15,402.34,456.09,542.94,409.26,493.79,643.41,396.80
1987,468.14,563.36,413.34,475.07,569.08,423.42,501.15,666.26,394.20
1988,464.04,558.53,409.48,470.38,565.08,418.02,504.65,658.20,405.13
1989,468.01,567.21,408.62,475.42,573.81,418.82,493.01,661.19,385.30
1990,482.13,592.90,415.66,488.99,599.49,424.82,522.41,699.83,409.93
1991,503.15,637.52,419.04,510.68,644.72,428.64,549.60,765.72,412.80
1992,510.81,658.50,414.95,517.14,663.96,423.57,570.51,811.80,414.26
1993,493.57,622.41,408.35,497.08,620.68,416.97,570.41,822.06,404.91
1994,483.72,589.99,413.71,487.79,588.05,423.34,559.02,785.28,409.71
1995,477.36,572.13,415.22,482.62,570.87,426.41,544.75,752.47,405.49
1996,479.61,573.03,418.49,485.43,574.80,428.46,543.26,730.94,418.76
1997,486.88,576.21,428.72,493.95,577.27,441.21,543.56,744.48,412.36
1998,488.82,573.44,434.38,496.99,577.03,446.80,541.58,728.72,421.12
1999,491.06,581.27,431.07,499.15,583.63,443.94,544.66,729.92,422.97
2000,487.04,581.18,422.77,497.23,585.15,438.21,532.73,719.39,407.79
2001,490.80,582.48,427.68,501.92,588.90,442.87,525.14,705.80,403.37
2002,488.64,575.91,428.89,498.47,582.40,441.42,539.22,704.83,428.65
2003,476.49,561.45,418.13,487.15,566.57,433.19,523.83,687.84,414.66
2004,477.74,559.60,421.11,487.69,565.33,434.14,528.39,691.22,421.15
2005,473.79,550.59,420.50,485.53,559.18,434.75,514.02,650.95,423.49
2006,477.61,557.91,420.33,489.57,565.91,435.26,514.15,653.78,418.31
2007,483.68,569.11,422.00,494.70,575.76,436.32,522.63,675.79,417.33
2008,477.30,550.56,425.18,487.67,556.14,439.23,521.08,670.28,419.70
2009,476.08,541.43,429.76,486.52,547.97,443.03,514.10,646.22,424.63
2010,466.39,530.77,420.17,478.01,538.67,434.62,495.37,618.54,410.41
2011,461.11,518.97,420.34,472.30,526.64,434.32,488.90,594.05,416.91
2012,448.68,490.86,420.56,458.52,497.23,433.56,485.02,577.11,421.56
2013,443.29,483.06,417.29,453.69,489.49,431.41,470.83,563.23,406.67
2014,441.95,476.28,420.48,454.74,485.68,436.62,452.19,528.26,401.17
2015,441.99,476.48,420.36,454.91,486.34,436.24,452.88,526.31,402.77
2016,439.97,476.34,416.10,450.66,483.14,430.35,459.54,533.48,408.62
2017,434.82,471.13,410.75,443.49,474.94,423.85,446.26,529.59,387.88
